Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
9.30346	HARQ FD Txed	930	3	0	2	1	0	16	2
9.30354	DL DCI Rxed	930	3	1	2	1	0	18	2
9.30396	HARQ FD Txed	930	3	1	2	1	0	15	2
9.30404	DL DCI Rxed	930	4	0	2	1	0	17	2
9.30446	HARQ FD Txed	930	4	0	2	1	0	19	2
9.30454	DL DCI Rxed	930	4	1	2	1	0	16	2
9.30496	HARQ FD Txed	930	4	1	2	1	0	18	2
9.30504	DL DCI Rxed	930	5	0	2	1	0	15	2
9.30546	HARQ FD Txed	930	5	0	2	1	0	17	2
9.30554	DL DCI Rxed	930	5	1	2	1	0	19	2
9.30596	HARQ FD Txed	930	5	1	2	1	0	16	2
9.30604	DL DCI Rxed	930	6	0	2	1	0	18	2
9.30646	HARQ FD Txed	930	6	0	2	1	0	15	2
9.30654	DL DCI Rxed	930	6	1	2	1	0	17	2
9.30696	HARQ FD Txed	930	6	1	2	1	0	19	2
9.30704	DL DCI Rxed	930	7	0	2	1	0	16	2
9.30746	HARQ FD Txed	930	7	0	2	1	0	18	2
9.30754	DL DCI Rxed	930	7	1	2	1	0	15	2
9.30796	HARQ FD Txed	930	7	1	2	1	0	17	2
9.30804	DL DCI Rxed	930	8	0	2	1	0	19	2
9.30846	HARQ FD Txed	930	8	0	2	1	0	16	2
9.30854	DL DCI Rxed	930	8	1	2	1	0	18	2
9.30896	HARQ FD Txed	930	8	1	2	1	0	15	2
9.30904	DL DCI Rxed	930	9	0	2	1	0	17	2
9.30946	HARQ FD Txed	930	9	0	2	1	0	19	2
9.30954	DL DCI Rxed	930	9	1	2	1	0	16	2
9.30996	HARQ FD Txed	930	9	1	2	1	0	18	2
9.31004	DL DCI Rxed	931	0	0	2	1	0	15	2
9.31046	HARQ FD Txed	931	0	0	2	1	0	17	2
9.31054	DL DCI Rxed	931	0	1	2	1	0	19	2
9.31096	HARQ FD Txed	931	0	1	2	1	0	16	2
9.31104	DL DCI Rxed	931	1	0	2	1	0	18	2
9.31146	HARQ FD Txed	931	1	0	2	1	0	15	2
9.31154	DL DCI Rxed	931	1	1	2	1	0	17	2
9.31196	HARQ FD Txed	931	1	1	2	1	0	19	2
9.31204	DL DCI Rxed	931	2	0	2	1	0	16	2
9.31246	HARQ FD Txed	931	2	0	2	1	0	18	2
9.31254	DL DCI Rxed	931	2	1	2	1	0	15	2
9.31296	HARQ FD Txed	931	2	1	2	1	0	17	2
9.31304	DL DCI Rxed	931	3	0	2	1	0	19	2
9.31346	HARQ FD Txed	931	3	0	2	1	0	16	2
9.31354	DL DCI Rxed	931	3	1	2	1	0	18	2
9.31396	HARQ FD Txed	931	3	1	2	1	0	15	2
9.31404	DL DCI Rxed	931	4	0	2	1	0	17	2
9.31446	HARQ FD Txed	931	4	0	2	1	0	19	2
9.31454	DL DCI Rxed	931	4	1	2	1	0	16	2
9.31496	HARQ FD Txed	931	4	1	2	1	0	18	2
9.31504	DL DCI Rxed	931	5	0	2	1	0	15	2
9.31546	HARQ FD Txed	931	5	0	2	1	0	17	2
9.31554	DL DCI Rxed	931	5	1	2	1	0	19	2
9.31596	HARQ FD Txed	931	5	1	2	1	0	16	2
9.31604	DL DCI Rxed	931	6	0	2	1	0	18	2
9.31646	HARQ FD Txed	931	6	0	2	1	0	15	2
9.31654	DL DCI Rxed	931	6	1	2	1	0	17	2
9.31696	HARQ FD Txed	931	6	1	2	1	0	19	2
9.31704	DL DCI Rxed	931	7	0	2	1	0	16	2
9.31746	HARQ FD Txed	931	7	0	2	1	0	18	2
9.31754	DL DCI Rxed	931	7	1	2	1	0	15	2
9.31796	HARQ FD Txed	931	7	1	2	1	0	17	2
9.31804	DL DCI Rxed	931	8	0	2	1	0	19	2
9.31846	HARQ FD Txed	931	8	0	2	1	0	16	2
9.31854	DL DCI Rxed	931	8	1	2	1	0	18	2
9.31896	HARQ FD Txed	931	8	1	2	1	0	15	2
9.31904	DL DCI Rxed	931	9	0	2	1	0	17	2
9.31946	HARQ FD Txed	931	9	0	2	1	0	19	2
9.31954	DL DCI Rxed	931	9	1	2	1	0	16	2
9.31996	HARQ FD Txed	931	9	1	2	1	0	18	2
9.32004	DL DCI Rxed	932	0	0	2	1	0	15	2
9.32046	HARQ FD Txed	932	0	0	2	1	0	17	2
9.32054	DL DCI Rxed	932	0	1	2	1	0	19	2
9.32096	HARQ FD Txed	932	0	1	2	1	0	16	2
9.32104	DL DCI Rxed	932	1	0	2	1	0	18	2
9.32146	HARQ FD Txed	932	1	0	2	1	0	15	2
9.32154	DL DCI Rxed	932	1	1	2	1	0	17	2
9.32196	HARQ FD Txed	932	1	1	2	1	0	19	2
9.32204	DL DCI Rxed	932	2	0	2	1	0	16	2
9.32246	HARQ FD Txed	932	2	0	2	1	0	18	2
9.32254	DL DCI Rxed	932	2	1	2	1	0	15	2
9.32296	HARQ FD Txed	932	2	1	2	1	0	17	2
9.32304	DL DCI Rxed	932	3	0	2	1	0	19	2
9.32346	HARQ FD Txed	932	3	0	2	1	0	16	2
9.32354	DL DCI Rxed	932	3	1	2	1	0	18	2
9.32396	HARQ FD Txed	932	3	1	2	1	0	15	2
9.32404	DL DCI Rxed	932	4	0	2	1	0	17	2
9.32446	HARQ FD Txed	932	4	0	2	1	0	19	2
9.32454	DL DCI Rxed	932	4	1	2	1	0	16	2
9.32496	HARQ FD Txed	932	4	1	2	1	0	18	2
9.32504	DL DCI Rxed	932	5	0	2	1	0	15	2
9.32546	HARQ FD Txed	932	5	0	2	1	0	17	2
9.32554	DL DCI Rxed	932	5	1	2	1	0	19	2
9.32596	HARQ FD Txed	932	5	1	2	1	0	16	2
9.32604	DL DCI Rxed	932	6	0	2	1	0	18	2
9.32646	HARQ FD Txed	932	6	0	2	1	0	15	2
9.32654	DL DCI Rxed	932	6	1	2	1	0	17	2
9.32696	HARQ FD Txed	932	6	1	2	1	0	19	2
9.32704	DL DCI Rxed	932	7	0	2	1	0	16	2
9.32746	HARQ FD Txed	932	7	0	2	1	0	18	2
9.32754	DL DCI Rxed	932	7	1	2	1	0	15	2
9.32796	HARQ FD Txed	932	7	1	2	1	0	17	2
9.32804	DL DCI Rxed	932	8	0	2	1	0	19	2
9.32846	HARQ FD Txed	932	8	0	2	1	0	16	2
9.32854	DL DCI Rxed	932	8	1	2	1	0	18	2
9.32896	HARQ FD Txed	932	8	1	2	1	0	15	2
9.32904	DL DCI Rxed	932	9	0	2	1	0	17	2
9.32946	HARQ FD Txed	932	9	0	2	1	0	19	2
9.32954	DL DCI Rxed	932	9	1	2	1	0	16	2
9.32996	HARQ FD Txed	932	9	1	2	1	0	18	2
9.33004	DL DCI Rxed	933	0	0	2	1	0	15	2
9.33046	HARQ FD Txed	933	0	0	2	1	0	17	2
9.33054	DL DCI Rxed	933	0	1	2	1	0	19	2
9.33096	HARQ FD Txed	933	0	1	2	1	0	16	2
9.33104	DL DCI Rxed	933	1	0	2	1	0	18	2
9.33146	HARQ FD Txed	933	1	0	2	1	0	15	2
9.33154	DL DCI Rxed	933	1	1	2	1	0	17	2
9.33196	HARQ FD Txed	933	1	1	2	1	0	19	2
9.33204	DL DCI Rxed	933	2	0	2	1	0	16	2
9.33246	HARQ FD Txed	933	2	0	2	1	0	18	2
9.33254	DL DCI Rxed	933	2	1	2	1	0	15	2
9.33296	HARQ FD Txed	933	2	1	2	1	0	17	2
9.33304	DL DCI Rxed	933	3	0	2	1	0	19	2
9.33346	HARQ FD Txed	933	3	0	2	1	0	16	2
